epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,546.507,2.84875,0.83968,0.62368,2.78219,3.19118,0.47759,0.40049,0.39636,0.16539,0.56245,0.49867,0.53411,0.41818,2.02557,0.80907,0.50689,2.09613,2.58566,0.0700092,0.00333231,0.00333231
2,1065.61,1.76029,0.66198,0.53273,1.86481,2.16337,0.68561,0.59304,0.65505,0.35907,0.73544,0.65357,0.72956,0.62033,1.54258,0.62117,0.4728,1.51845,2.02452,0.0400059,0.00666232,0.00666232
3,1571.54,1.51863,0.56647,0.50939,1.57401,1.8979,0.73119,0.63996,0.7127,0.42077,0.75776,0.67787,0.76383,0.66357,1.39741,0.55869,0.45512,1.30332,1.84227,0.00998927,0.00997905,0.00997905
4,2282.46,1.40417,0.50687,0.49089,1.4153,1.77489,0.7448,0.69508,0.75925,0.4847,0.77467,0.72809,0.80088,0.72205,1.25255,0.46537,0.42641,1.13322,1.68815,0.0099552,0.0099552,0.0099552
5,2827.78,1.31782,0.45888,0.47142,1.28708,1.68873,0.77584,0.70946,0.78527,0.51477,0.79851,0.73942,0.8206,0.74959,1.18866,0.42217,0.4085,1.04963,1.60867,0.00992045,0.00992045,0.00992045
6,3371.66,1.2638,0.42629,0.45679,1.2197,1.63626,0.76699,0.73779,0.80142,0.54138,0.79643,0.76149,0.83178,0.76449,1.1288,0.40206,0.39376,0.98224,1.55328,0.00987589,0.00987589,0.00987589
7,3915.03,1.22627,0.40763,0.44929,1.16681,1.60476,0.78316,0.74003,0.81272,0.55911,0.80324,0.7621,0.83816,0.77784,1.09775,0.37329,0.38713,0.93722,1.51861,0.00982162,0.00982162,0.00982162
8,4458.64,1.19592,0.39216,0.44059,1.12608,1.57385,0.78191,0.74912,0.82168,0.57362,0.80444,0.76042,0.84573,0.79012,1.064,0.35315,0.38073,0.89679,1.4832,0.00975773,0.00975773,0.00975773
9,5800.86,1.17165,0.37826,0.43476,1.10023,1.55192,0.79675,0.75163,0.82854,0.58714,0.81564,0.76944,0.85107,0.79587,1.03847,0.34296,0.37265,0.87656,1.45748,0.00968436,0.00968436,0.00968436
10,6335.78,1.15693,0.36619,0.42863,1.07802,1.53329,0.78373,0.76529,0.83433,0.59596,0.80425,0.78234,0.85375,0.80164,1.02436,0.33289,0.3687,0.85707,1.44001,0.00960166,0.00960166,0.00960166
11,6880.18,1.1404,0.35844,0.42375,1.05714,1.51482,0.79377,0.76817,0.84043,0.60246,0.80507,0.78761,0.86048,0.80938,1.00784,0.32185,0.36463,0.83762,1.42151,0.0095098,0.0095098,0.0095098
12,7428.21,1.12638,0.35158,0.42087,1.03918,1.50147,0.79664,0.77101,0.84574,0.60906,0.81244,0.78862,0.86241,0.81274,0.99444,0.31547,0.35902,0.8228,1.40938,0.00940895,0.00940895,0.00940895
13,7971.91,1.11529,0.34529,0.41645,1.0261,1.49003,0.80959,0.76918,0.85068,0.6155,0.81736,0.78822,0.86533,0.81703,0.98476,0.30867,0.35562,0.80866,1.39971,0.00929932,0.00929932,0.00929932
14,8515.27,1.10914,0.33858,0.41315,1.01414,1.48634,0.80532,0.77559,0.85333,0.6199,0.81175,0.79753,0.86789,0.82174,0.97668,0.30453,0.35544,0.79968,1.39156,0.00918114,0.00918114,0.00918114
15,9058.64,1.09392,0.32864,0.40961,0.99555,1.47105,0.79775,0.78504,0.85546,0.62296,0.81405,0.80057,0.87164,0.82511,0.97087,0.29847,0.35164,0.79027,1.38255,0.00905463,0.00905463,0.00905463
16,9601.83,1.08783,0.32572,0.40631,0.98784,1.46168,0.80881,0.78288,0.85772,0.62561,0.82331,0.79435,0.8734,0.82737,0.96273,0.29358,0.35008,0.78161,1.37479,0.00892007,0.00892007,0.00892007
17,13591.7,1.07876,0.32321,0.40551,0.97525,1.45661,0.81333,0.78072,0.86001,0.62885,0.828,0.7895,0.87364,0.82843,0.95836,0.29096,0.34846,0.77654,1.36973,0.0087777,0.0087777,0.0087777
18,14108.9,1.07383,0.3131,0.40126,0.97073,1.44866,0.81146,0.78862,0.86252,0.63167,0.82231,0.80016,0.8752,0.83064,0.95496,0.28741,0.34683,0.77039,1.36521,0.00862783,0.00862783,0.00862783
19,14639.9,1.06432,0.3119,0.39886,0.96143,1.43998,0.81084,0.7866,0.86346,0.6347,0.82299,0.80111,0.87694,0.8329,0.94995,0.28445,0.34566,0.76464,1.35931,0.00847076,0.00847076,0.00847076
20,15183.9,1.05532,0.30932,0.39513,0.94885,1.43351,0.81103,0.78641,0.86447,0.63671,0.82249,0.80178,0.87885,0.83474,0.9462,0.28178,0.34427,0.75997,1.35572,0.0083068,0.0083068,0.0083068
21,15729.7,1.05274,0.30702,0.39602,0.94454,1.43039,0.80676,0.79227,0.86581,0.63879,0.82342,0.80219,0.8794,0.83528,0.9428,0.27968,0.34334,0.75626,1.35207,0.00813627,0.00813627,0.00813627
22,16272,1.04566,0.30272,0.39312,0.9321,1.42303,0.8089,0.78933,0.86618,0.6403,0.8227,0.80482,0.88068,0.83692,0.93986,0.27843,0.34283,0.75238,1.34952,0.00795954,0.00795954,0.00795954
23,16817.5,1.04274,0.29666,0.3916,0.92847,1.41916,0.80747,0.79247,0.86741,0.64171,0.82144,0.80381,0.88028,0.83701,0.93729,0.27673,0.34174,0.74953,1.34684,0.00777694,0.00777694,0.00777694
24,17722.9,1.03758,0.29359,0.38913,0.92592,1.41735,0.80712,0.79386,0.86844,0.64367,0.82155,0.80721,0.8816,0.83872,0.93505,0.27536,0.34096,0.74595,1.34429,0.00758885,0.00758885,0.00758885
25,18240.2,1.0294,0.2917,0.38648,0.91524,1.40979,0.80938,0.79429,0.86958,0.64517,0.82417,0.80763,0.88212,0.83925,0.93285,0.27326,0.34025,0.7438,1.34137,0.00739565,0.00739565,0.00739565
26,18744.9,1.02599,0.28978,0.38579,0.90853,1.40254,0.81079,0.7956,0.87047,0.64579,0.82476,0.8081,0.88274,0.8406,0.93078,0.2713,0.33962,0.73975,1.33877,0.00719772,0.00719772,0.00719772
27,19249,1.02194,0.28454,0.38212,0.90465,1.39957,0.81162,0.7953,0.87112,0.64792,0.82687,0.80887,0.88359,0.84204,0.92802,0.26921,0.33864,0.73691,1.33611,0.00699547,0.00699547,0.00699547
28,20278.1,1.01444,0.28099,0.3792,0.89505,1.38977,0.81393,0.79632,0.87193,0.64904,0.82805,0.80705,0.88376,0.8429,0.92539,0.26766,0.3381,0.73399,1.33301,0.00678931,0.00678931,0.00678931
29,20743.1,1.01065,0.27717,0.37912,0.8917,1.38819,0.80875,0.79874,0.87293,0.65019,0.82374,0.80907,0.88358,0.84323,0.92318,0.26611,0.3372,0.73112,1.32996,0.00657963,0.00657963,0.00657963
30,21209,1.00584,0.27611,0.37744,0.89381,1.38435,0.80864,0.79935,0.87393,0.6516,0.82363,0.81126,0.8844,0.84456,0.92069,0.26437,0.33647,0.72871,1.32753,0.00636688,0.00636688,0.00636688
31,21672.6,1.00207,0.27139,0.37645,0.88093,1.3816,0.80825,0.80117,0.87469,0.65303,0.82153,0.81373,0.88584,0.84616,0.91862,0.26239,0.33544,0.72467,1.32507,0.00615148,0.00615148,0.00615148
32,22140.2,0.99603,0.26932,0.37351,0.87137,1.37599,0.80876,0.80144,0.8757,0.65393,0.82904,0.80867,0.88663,0.84733,0.91644,0.26069,0.33447,0.72187,1.32252,0.00593386,0.00593386,0.00593386
33,22606.1,0.99306,0.26777,0.37253,0.8703,1.37214,0.81273,0.79793,0.8765,0.65584,0.84267,0.79793,0.88783,0.84894,0.91419,0.25864,0.33358,0.71884,1.32015,0.00571445,0.00571445,0.00571445
34,23071.6,0.98881,0.26538,0.3702,0.86357,1.36901,0.81166,0.80012,0.87707,0.65719,0.84409,0.79799,0.88846,0.84969,0.91197,0.25681,0.33263,0.71612,1.31803,0.00549371,0.00549371,0.00549371
