epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,482.498,2.75606,0.86736,0.63431,2.80254,3.03885,0.27375,0.29818,0.21011,0.07695,0.45886,0.41823,0.40325,0.29317,2.15053,0.91213,0.51517,2.54885,2.6345,0.0700092,0.00333231,0.00333231
2,861.166,2.02017,0.79131,0.57099,2.30847,2.35217,0.39002,0.35878,0.33164,0.14297,0.53341,0.5161,0.5304,0.40609,1.94373,0.85221,0.49616,2.34771,2.33887,0.0400059,0.00666232,0.00666232
3,1233.7,1.86777,0.74841,0.55639,2.1703,2.18247,0.48702,0.42215,0.43463,0.19889,0.57869,0.541,0.57731,0.45908,1.79662,0.79022,0.49674,2.05864,2.17904,0.00998927,0.00997905,0.00997905
4,1602.2,1.77372,0.7083,0.54809,2.05205,2.07884,0.5322,0.47965,0.49494,0.2417,0.63666,0.56125,0.61611,0.50383,1.69517,0.73916,0.48788,1.9272,2.07894,0.0099552,0.0099552,0.0099552
5,1970.75,1.70761,0.68213,0.54101,1.95646,2.01206,0.54492,0.48978,0.51554,0.25849,0.64243,0.56611,0.62452,0.5187,1.67344,0.70264,0.48688,1.80233,2.04539,0.00992045,0.00992045,0.00992045
6,2335.97,1.67619,0.66228,0.538,1.89587,1.97456,0.56917,0.52015,0.5454,0.28068,0.66033,0.59405,0.64769,0.53996,1.63636,0.68542,0.48457,1.75058,2.01133,0.00987589,0.00987589,0.00987589
7,2715.86,1.65074,0.64973,0.5341,1.85504,1.94765,0.596,0.53088,0.5628,0.29273,0.66256,0.58635,0.65174,0.54693,1.61086,0.67538,0.48457,1.70538,1.97723,0.00982162,0.00982162,0.00982162
8,3088.11,1.62917,0.63985,0.53361,1.82273,1.92348,0.59926,0.5406,0.57262,0.30105,0.67201,0.59942,0.66231,0.5589,1.5971,0.66384,0.48294,1.66027,1.95892,0.00975773,0.00975773,0.00975773
9,3460.06,1.61683,0.63143,0.5305,1.80216,1.91423,0.59436,0.54019,0.57655,0.30849,0.66513,0.59558,0.66081,0.55879,1.57908,0.65707,0.48106,1.63889,1.94426,0.00968436,0.00968436,0.00968436
10,3829.36,1.60266,0.62342,0.52853,1.77923,1.89881,0.60562,0.5522,0.58755,0.31673,0.67476,0.60579,0.67168,0.5698,1.57228,0.64915,0.47925,1.60767,1.93422,0.00960166,0.00960166,0.00960166
11,4199.91,1.59556,0.62354,0.52719,1.76725,1.89048,0.60293,0.56064,0.59179,0.32084,0.66824,0.61409,0.67178,0.57084,1.56374,0.64355,0.47832,1.59051,1.92605,0.0095098,0.0095098,0.0095098
12,4571.32,1.58644,0.61624,0.52625,1.74899,1.87781,0.60881,0.56611,0.59795,0.32541,0.66881,0.6219,0.67689,0.57508,1.55435,0.6411,0.47905,1.5765,1.9164,0.00940895,0.00940895,0.00940895
13,4931.01,1.58004,0.61295,0.52519,1.73902,1.87045,0.61358,0.5736,0.60164,0.32757,0.67121,0.62199,0.67523,0.57563,1.54866,0.63698,0.4785,1.56555,1.90727,0.00929932,0.00929932,0.00929932
14,5291.04,1.57261,0.61213,0.52447,1.72066,1.86342,0.61823,0.56833,0.60421,0.3304,0.67966,0.61855,0.67979,0.57964,1.54074,0.63459,0.4765,1.55461,1.90109,0.00918114,0.00918114,0.00918114
15,5677.39,1.56489,0.61049,0.52298,1.71376,1.85456,0.62891,0.56914,0.60747,0.33358,0.68879,0.6149,0.68036,0.58103,1.53479,0.63005,0.47682,1.54873,1.89447,0.00905463,0.00905463,0.00905463
16,6056.28,1.55766,0.60712,0.52171,1.71211,1.85015,0.62831,0.57076,0.60992,0.33511,0.68869,0.61767,0.68134,0.58281,1.53018,0.62829,0.47623,1.54202,1.89045,0.00892007,0.00892007,0.00892007
17,6426.99,1.55089,0.6069,0.52263,1.70178,1.84217,0.63386,0.57542,0.61329,0.33762,0.69739,0.6145,0.68483,0.58604,1.52874,0.62658,0.47601,1.53827,1.88749,0.0087777,0.0087777,0.0087777
18,6820.05,1.55186,0.60012,0.52071,1.69969,1.84121,0.63261,0.57524,0.61432,0.33883,0.69178,0.62076,0.68516,0.58667,1.52599,0.62495,0.47578,1.53374,1.88439,0.00862783,0.00862783,0.00862783
19,7182.21,1.54779,0.60026,0.52046,1.68856,1.83508,0.63308,0.57291,0.61636,0.33979,0.69443,0.61733,0.68617,0.58828,1.52502,0.62302,0.47557,1.53027,1.88205,0.00847076,0.00847076,0.00847076
20,7560.21,1.54033,0.59669,0.51918,1.6781,1.8272,0.63366,0.57684,0.61715,0.34036,0.69082,0.62069,0.68665,0.58903,1.52424,0.62213,0.47562,1.52886,1.88012,0.0083068,0.0083068,0.0083068
21,7934.64,1.53573,0.59776,0.5195,1.6752,1.82637,0.63531,0.57744,0.61778,0.34112,0.69217,0.62401,0.68733,0.59036,1.52202,0.62118,0.47535,1.52807,1.87769,0.00813627,0.00813627,0.00813627
22,8298.16,1.53236,0.595,0.51896,1.66631,1.82133,0.63726,0.57441,0.61918,0.34257,0.69385,0.62085,0.68754,0.5907,1.51984,0.62079,0.47514,1.52616,1.87547,0.00795954,0.00795954,0.00795954
23,8648.29,1.52698,0.59126,0.51861,1.65678,1.815,0.63974,0.57198,0.61942,0.34342,0.69624,0.61693,0.68789,0.59146,1.51833,0.62027,0.47505,1.52395,1.87429,0.00777694,0.00777694,0.00777694
24,8997.14,1.52279,0.59024,0.51806,1.65526,1.81215,0.6402,0.5734,0.62077,0.34421,0.69608,0.61855,0.6893,0.59258,1.51688,0.61962,0.47493,1.52072,1.87274,0.00758885,0.00758885,0.00758885
25,9344.3,1.52315,0.58956,0.51681,1.64739,1.80921,0.64194,0.5717,0.62092,0.34522,0.69582,0.61969,0.69007,0.59315,1.51488,0.61887,0.47476,1.51807,1.87009,0.00739565,0.00739565,0.00739565
26,9691.98,1.52042,0.58862,0.51533,1.64445,1.80755,0.64058,0.57268,0.6213,0.3457,0.69461,0.62098,0.68991,0.59341,1.51313,0.61805,0.47489,1.51578,1.86761,0.00719772,0.00719772,0.00719772
27,10042,1.51793,0.58598,0.51627,1.64164,1.80162,0.6421,0.57465,0.62177,0.34698,0.69504,0.62203,0.69005,0.59422,1.51135,0.6171,0.47489,1.51541,1.86472,0.00699547,0.00699547,0.00699547
28,10392.4,1.51335,0.58216,0.51575,1.63431,1.80134,0.64311,0.57501,0.62261,0.34761,0.69543,0.62042,0.68951,0.59408,1.50985,0.61593,0.47484,1.5148,1.86235,0.00678931,0.00678931,0.00678931
29,10744.7,1.50862,0.58392,0.51522,1.62837,1.79632,0.64275,0.57847,0.6247,0.34867,0.69767,0.62199,0.69011,0.59496,1.50886,0.61478,0.47441,1.51384,1.86132,0.00657963,0.00657963,0.00657963
30,11100.4,1.5083,0.58313,0.51501,1.63068,1.7947,0.64777,0.57603,0.62517,0.34914,0.69855,0.62118,0.68979,0.59508,1.50782,0.61402,0.4741,1.51272,1.85912,0.00636688,0.00636688,0.00636688
31,11460.8,1.50414,0.58211,0.51449,1.62762,1.79392,0.65034,0.574,0.62571,0.3497,0.69874,0.61672,0.68958,0.59547,1.50638,0.61332,0.47376,1.5114,1.85702,0.00615148,0.00615148,0.00615148
32,11832.1,1.50128,0.58092,0.5124,1.62292,1.7909,0.65211,0.56935,0.62494,0.35042,0.7022,0.61308,0.68779,0.59444,1.50431,0.61301,0.47371,1.51039,1.85533,0.00593386,0.00593386,0.00593386
33,12200.6,1.4971,0.57829,0.51323,1.60998,1.78456,0.65396,0.57137,0.6255,0.35149,0.70312,0.61571,0.68856,0.59547,1.50278,0.61229,0.47346,1.50805,1.85339,0.00571445,0.00571445,0.00571445
34,12570.4,1.49608,0.57665,0.51387,1.61019,1.78268,0.65914,0.56935,0.62615,0.35214,0.69721,0.61855,0.68857,0.59599,1.50065,0.611,0.47322,1.50645,1.85148,0.00549371,0.00549371,0.00549371
35,12939.5,1.49592,0.5772,0.51022,1.60932,1.78267,0.65757,0.57036,0.62559,0.35227,0.70128,0.61364,0.68788,0.5956,1.49903,0.60971,0.47306,1.505,1.84997,0.00527208,0.00527208,0.00527208
