epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.064,2.68263,0.83337,0.61663,2.68987,3.00543,0.43371,0.3936,0.37604,0.15802,0.55808,0.5096,0.5309,0.40961,1.97072,0.82523,0.49827,2.18489,2.47224,0.0700092,0.00333231,0.00333231
2,942.389,1.80697,0.6762,0.54266,1.96605,2.17969,0.61093,0.52426,0.56804,0.29475,0.67157,0.60239,0.6656,0.56141,1.66094,0.67147,0.48831,1.72282,2.11019,0.0400059,0.00666232,0.00666232
3,1407.94,1.61197,0.59801,0.52335,1.73192,1.97149,0.67447,0.59142,0.64439,0.3623,0.72083,0.63798,0.71588,0.61896,1.50982,0.60287,0.4732,1.53872,1.94118,0.00998927,0.00997905,0.00997905
4,1832.33,1.50719,0.55267,0.50606,1.59122,1.86545,0.70603,0.62243,0.68588,0.40954,0.74037,0.67149,0.7463,0.6587,1.39684,0.53698,0.45366,1.37845,1.83013,0.0099552,0.0099552,0.0099552
5,2236.76,1.42876,0.51341,0.49098,1.47184,1.79154,0.71287,0.65651,0.71382,0.43562,0.74673,0.68769,0.7625,0.68153,1.34273,0.50129,0.43598,1.27924,1.77393,0.00992045,0.00992045,0.00992045
6,2649.65,1.38496,0.48595,0.48203,1.39945,1.74421,0.71994,0.67505,0.73238,0.45927,0.75492,0.70785,0.77698,0.70315,1.30182,0.4634,0.42407,1.21301,1.72208,0.00987589,0.00987589,0.00987589
7,3069.82,1.34853,0.46737,0.47381,1.3541,1.71066,0.73272,0.67937,0.74265,0.47298,0.7702,0.6971,0.7827,0.71137,1.26362,0.45267,0.42078,1.1778,1.68797,0.00982162,0.00982162,0.00982162
8,3471.9,1.32214,0.44839,0.46764,1.31428,1.68035,0.72923,0.68212,0.75063,0.484,0.76861,0.70075,0.78786,0.72287,1.24207,0.42922,0.41164,1.14099,1.65832,0.00975773,0.00975773,0.00975773
9,3871.56,1.30326,0.43579,0.46269,1.28819,1.66565,0.74001,0.69615,0.75767,0.49517,0.7654,0.72004,0.79564,0.73129,1.21981,0.41794,0.40562,1.11584,1.63857,0.00968436,0.00968436,0.00968436
10,4272.25,1.28455,0.4248,0.45845,1.2638,1.6475,0.73337,0.70196,0.7626,0.50347,0.76589,0.72199,0.79946,0.73395,1.20145,0.40839,0.39952,1.08717,1.62057,0.00960166,0.00960166,0.00960166
