epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,14716,0.9961,0.28345,0.38236,0.89843,1.29614,0.82869,0.79004,0.87963,0.67836,0.84633,0.80509,0.8907,0.85425,0.82959,0.25252,0.32783,0.68906,1.17522,0.00889687,0.00889687,0.00889687
28,15257.6,0.99181,0.27812,0.38019,0.89429,1.29115,0.82665,0.79227,0.88071,0.67962,0.84815,0.80381,0.89116,0.85492,0.82767,0.25065,0.32692,0.68783,1.17253,0.00881401,0.00881401,0.00881401
29,15801.5,0.98539,0.27737,0.3785,0.89071,1.28688,0.82551,0.79313,0.88149,0.68086,0.84809,0.80481,0.89165,0.85574,0.82655,0.24921,0.32606,0.68638,1.17067,0.00872857,0.00872857,0.00872857
30,16345.1,0.98508,0.27548,0.37822,0.88819,1.28713,0.82751,0.79359,0.88261,0.68239,0.847,0.80543,0.89242,0.85694,0.82511,0.24732,0.3252,0.68366,1.16888,0.0086406,0.0086406,0.0086406
31,16885.9,0.98102,0.27456,0.37534,0.8865,1.28164,0.82264,0.79814,0.88295,0.68421,0.84313,0.80867,0.89328,0.85788,0.82346,0.24574,0.32426,0.68162,1.16636,0.00855018,0.00855018,0.00855018
32,17426.5,0.97815,0.27265,0.375,0.88073,1.27988,0.81946,0.80139,0.88327,0.68531,0.84785,0.80765,0.89397,0.85899,0.82152,0.24402,0.32344,0.67989,1.16392,0.00845736,0.00845736,0.00845736
33,17967,0.97264,0.2699,0.37361,0.87639,1.27301,0.8209,0.80117,0.88377,0.68618,0.84406,0.80988,0.89443,0.85951,0.81938,0.2424,0.32252,0.67835,1.16094,0.0083622,0.0083622,0.0083622
34,18517.2,0.97082,0.26797,0.37259,0.86934,1.27004,0.82059,0.8036,0.88449,0.68665,0.84266,0.81325,0.89439,0.85982,0.81737,0.24066,0.32139,0.67733,1.15849,0.00826477,0.00826477,0.00826477
35,19058.7,0.97031,0.26613,0.36986,0.87167,1.26957,0.82234,0.80421,0.88469,0.68819,0.84257,0.81166,0.89426,0.85989,0.81554,0.23898,0.32052,0.67526,1.15629,0.00816514,0.00816514,0.00816514
36,19603.9,0.96645,0.2675,0.37187,0.86415,1.26582,0.8208,0.80589,0.88575,0.68982,0.84659,0.80783,0.89463,0.86087,0.81343,0.23733,0.31968,0.67304,1.15336,0.00806337,0.00806337,0.00806337
37,20148.9,0.96276,0.26155,0.36912,0.86261,1.26275,0.82665,0.80279,0.88651,0.69066,0.84776,0.80842,0.89512,0.86161,0.81134,0.23594,0.31874,0.67185,1.15085,0.00795954,0.00795954,0.00795954
38,20691.9,0.95902,0.26274,0.3668,0.8568,1.25771,0.8251,0.80425,0.88734,0.69221,0.84253,0.8117,0.89568,0.8624,0.80949,0.23431,0.31774,0.66991,1.14814,0.00785371,0.00785371,0.00785371
39,21235.1,0.95795,0.26164,0.36844,0.85601,1.25688,0.82612,0.80583,0.88828,0.69382,0.84161,0.81899,0.89697,0.86366,0.80765,0.23251,0.31692,0.6675,1.1459,0.00774596,0.00774596,0.00774596
40,21776.2,0.95769,0.25545,0.36481,0.85553,1.25617,0.82803,0.80725,0.88911,0.69544,0.84172,0.82162,0.89863,0.86595,0.80584,0.23123,0.31613,0.66528,1.14375,0.00763637,0.00763637,0.00763637
41,22319.1,0.95467,0.25576,0.36498,0.85202,1.25309,0.82827,0.80758,0.88997,0.69584,0.84388,0.8194,0.89946,0.86709,0.80395,0.22945,0.31529,0.66348,1.1412,0.007525,0.007525,0.007525
42,22864.5,0.95181,0.25529,0.36413,0.84828,1.24834,0.82755,0.80933,0.89059,0.69779,0.84508,0.81954,0.90051,0.86872,0.80184,0.22763,0.31423,0.66079,1.1383,0.00741194,0.00741194,0.00741194
43,23409.2,0.94882,0.2527,0.36284,0.84152,1.24617,0.82441,0.81465,0.89127,0.69864,0.84518,0.82021,0.90045,0.86871,0.80033,0.22622,0.31334,0.6588,1.13583,0.00729725,0.00729725,0.00729725
44,23952.4,0.94546,0.25128,0.36296,0.83919,1.24113,0.82702,0.81409,0.89254,0.69976,0.84635,0.82203,0.90142,0.86966,0.79896,0.2245,0.31231,0.65612,1.13344,0.00718103,0.00718103,0.00718103
45,24494,0.94088,0.24975,0.36152,0.83406,1.23942,0.82897,0.81433,0.89326,0.70048,0.84865,0.82162,0.90258,0.87138,0.79708,0.22289,0.3115,0.65384,1.13102,0.00706335,0.00706335,0.00706335
46,25039.3,0.93924,0.24664,0.35925,0.8338,1.23621,0.83186,0.8134,0.89378,0.70181,0.84875,0.82628,0.90373,0.87236,0.79552,0.22124,0.31046,0.651,1.12856,0.00694428,0.00694428,0.00694428
47,25580.3,0.93894,0.24652,0.35741,0.8311,1.23667,0.8304,0.81885,0.89425,0.70252,0.84805,0.82831,0.90421,0.873,0.79398,0.21997,0.30989,0.64839,1.12631,0.00682392,0.00682392,0.00682392
48,26121.5,0.93743,0.24616,0.35606,0.82647,1.23416,0.83028,0.81919,0.89486,0.70398,0.84898,0.82862,0.90392,0.8732,0.79264,0.21873,0.30913,0.64682,1.12419,0.00670234,0.00670234,0.00670234
49,26664.4,0.93557,0.24276,0.35593,0.8297,1.23234,0.8307,0.8194,0.8952,0.7047,0.8522,0.82608,0.90518,0.8744,0.79063,0.21753,0.30849,0.64564,1.12179,0.00657963,0.00657963,0.00657963
50,27206.9,0.92828,0.24201,0.35671,0.81875,1.22619,0.82774,0.82209,0.89592,0.70572,0.85347,0.82669,0.90537,0.87518,0.78932,0.21627,0.30787,0.64386,1.11988,0.00645588,0.00645588,0.00645588
51,27752.1,0.92816,0.23783,0.35433,0.8198,1.22605,0.82412,0.82538,0.89663,0.70697,0.85272,0.82831,0.90571,0.8759,0.78783,0.21486,0.30705,0.64155,1.11799,0.00633115,0.00633115,0.00633115
52,28295.7,0.92615,0.23813,0.35258,0.81465,1.22283,0.82764,0.82527,0.89741,0.70819,0.85329,0.82851,0.90582,0.87653,0.78616,0.21336,0.30643,0.63943,1.11595,0.00620555,0.00620555,0.00620555
53,28837.2,0.92131,0.23787,0.35084,0.80911,1.22036,0.82962,0.82617,0.89789,0.70849,0.85038,0.82871,0.90569,0.87658,0.78485,0.21196,0.3057,0.63721,1.11448,0.00607916,0.00607916,0.00607916
54,29380.7,0.92049,0.23493,0.3503,0.80473,1.21558,0.83275,0.82324,0.89847,0.70897,0.85439,0.82689,0.90623,0.87718,0.78376,0.21073,0.30483,0.635,1.11269,0.00595207,0.00595207,0.00595207
