epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,563.507,2.70261,0.82089,0.61201,2.65473,2.98052,0.45554,0.4003,0.39814,0.17152,0.56683,0.4981,0.54077,0.42115,1.95365,0.80382,0.4959,2.11389,2.41724,0.0700092,0.00333231,0.00333231
2,1138.38,1.77833,0.65629,0.5381,1.90996,2.13658,0.63139,0.55821,0.60174,0.31832,0.69103,0.6232,0.68941,0.58706,1.62087,0.63529,0.48584,1.65504,2.06697,0.0400059,0.00666232,0.00666232
3,1650.46,1.58437,0.57455,0.51513,1.67862,1.93527,0.65909,0.61794,0.65754,0.37507,0.70539,0.65904,0.72408,0.63341,1.48949,0.57182,0.46297,1.48766,1.91341,0.00998927,0.00997905,0.00997905
4,2106.12,1.48147,0.52633,0.49676,1.53373,1.82875,0.71287,0.64746,0.70731,0.42731,0.74673,0.68113,0.75741,0.67976,1.37537,0.50097,0.43461,1.31846,1.79902,0.0099552,0.0099552,0.0099552
5,2565.72,1.39969,0.48429,0.48026,1.4142,1.75271,0.72348,0.65621,0.72365,0.45683,0.75852,0.68799,0.76913,0.69684,1.30525,0.46092,0.4243,1.22438,1.72634,0.00992045,0.00992045,0.00992045
6,3020.11,1.35155,0.45509,0.46958,1.34045,1.70483,0.72141,0.69285,0.74246,0.47621,0.75018,0.71188,0.78137,0.71421,1.2631,0.43138,0.40643,1.1619,1.67377,0.00987589,0.00987589,0.00987589
7,3475.02,1.3141,0.43535,0.461,1.2938,1.67055,0.73496,0.69284,0.75777,0.49296,0.76209,0.71733,0.79163,0.72895,1.23568,0.41595,0.40203,1.12075,1.6511,0.00982162,0.00982162,0.00982162
8,3950.83,1.28429,0.41731,0.45412,1.25644,1.64178,0.75043,0.6967,0.76736,0.50786,0.76314,0.72409,0.8012,0.74077,1.20184,0.39735,0.39346,1.0808,1.61953,0.00975773,0.00975773,0.00975773
9,4483.92,1.26439,0.40503,0.44852,1.22756,1.62144,0.75676,0.70109,0.77571,0.5179,0.77614,0.72302,0.8073,0.74815,1.18243,0.38665,0.38947,1.06069,1.59053,0.00968436,0.00968436,0.00968436
10,4936.24,1.24545,0.3946,0.44429,1.20358,1.60331,0.74646,0.71472,0.77773,0.52646,0.77713,0.73355,0.81354,0.7556,1.15632,0.37605,0.38318,1.03281,1.57034,0.00960166,0.00960166,0.00960166
11,5386.9,1.23086,0.39025,0.43893,1.18544,1.59007,0.76823,0.71229,0.78488,0.53241,0.78076,0.73618,0.81562,0.75921,1.14653,0.37084,0.38048,1.01303,1.55924,0.0095098,0.0095098,0.0095098
12,5839.2,1.21862,0.37873,0.43527,1.16746,1.5747,0.7596,0.72358,0.78881,0.54001,0.789,0.73517,0.82028,0.76485,1.12546,0.36054,0.37661,1.00532,1.54169,0.00940895,0.00940895,0.00940895
13,6289,1.2084,0.37282,0.43197,1.15467,1.56278,0.7537,0.73092,0.79425,0.54428,0.77562,0.75218,0.82388,0.77012,1.11766,0.3533,0.37165,0.98923,1.52868,0.00929932,0.00929932,0.00929932
