epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,570.142,2.98239,0.85019,0.63883,2.93057,3.32268,0.43658,0.38368,0.36163,0.14464,0.53359,0.50152,0.50925,0.39452,2.0669,0.82726,0.5122,2.15537,2.60602,0.0700092,0.00333231,0.00333231
2,1099.62,1.79381,0.66671,0.5357,1.88619,2.19278,0.69017,0.59891,0.65304,0.35271,0.73565,0.6473,0.72434,0.61627,1.54482,0.62596,0.47801,1.53083,2.0247,0.0400059,0.00666232,0.00666232
3,1638.49,1.52792,0.56343,0.50952,1.57816,1.90591,0.7361,0.64021,0.71488,0.42398,0.76364,0.68192,0.7663,0.67349,1.39018,0.53867,0.45483,1.30828,1.83245,0.00998927,0.00997905,0.00997905
4,2172.59,1.40806,0.50215,0.49018,1.41119,1.77829,0.75481,0.67645,0.76003,0.4837,0.78252,0.71323,0.79873,0.72263,1.25233,0.46805,0.4246,1.12666,1.67654,0.0099552,0.0099552,0.0099552
5,2696.89,1.32015,0.45682,0.47071,1.28161,1.69233,0.75681,0.72019,0.78477,0.51749,0.78991,0.74853,0.82088,0.75145,1.17987,0.42621,0.40848,1.03938,1.6054,0.00992045,0.00992045,0.00992045
6,3228.29,1.26318,0.42372,0.4556,1.21264,1.63717,0.77093,0.7378,0.80362,0.54537,0.79822,0.76392,0.83326,0.76769,1.11963,0.39455,0.39062,0.9731,1.54309,0.00987589,0.00987589,0.00987589
7,3758.99,1.22559,0.40602,0.44823,1.16227,1.60186,0.78657,0.73557,0.81426,0.56321,0.81189,0.75724,0.84127,0.78109,1.08618,0.37175,0.38373,0.92171,1.50721,0.00982162,0.00982162,0.00982162
8,4283.81,1.19412,0.39037,0.43969,1.123,1.57116,0.80192,0.74509,0.8275,0.57943,0.81719,0.77293,0.84892,0.79291,1.05489,0.35197,0.37415,0.89171,1.47343,0.00975773,0.00975773,0.00975773
9,5268.4,1.17008,0.37585,0.43379,1.0928,1.54625,0.80541,0.75663,0.83685,0.59383,0.80805,0.78332,0.85618,0.80493,1.037,0.33908,0.36844,0.86334,1.44877,0.00968436,0.00968436,0.00968436
10,5801.37,1.15479,0.36373,0.42708,1.06847,1.52833,0.78828,0.77263,0.84129,0.60377,0.81538,0.787,0.85952,0.80869,1.01064,0.3292,0.365,0.84101,1.42481,0.00960166,0.00960166,0.00960166
