epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7008,1.03726,0.31274,0.43331,0.87372,1.53924,0.87432,0.84524,0.93243,0.58008,0.89484,0.86508,0.93357,0.8768,1.40467,0.31063,0.30288,0.76887,1.4658,0.0702439,0.00330623,0.00330623
2,41.5513,1.0062,0.22497,0.37371,0.84335,1.51634,0.86092,0.83517,0.92545,0.56295,0.82511,0.86508,0.92368,0.87897,1.44092,0.28228,0.23881,0.81249,1.48177,0.0402374,0.00663308,0.00663308
3,61.8685,0.99972,0.22397,0.34703,0.82954,1.49113,0.85391,0.83333,0.91636,0.5368,0.83485,0.88492,0.92376,0.874,1.45425,0.29177,0.25013,0.9021,1.51526,0.010205,0.00993397,0.00993397
4,81.3617,1.02737,0.2398,0.34684,0.87147,1.53091,0.82356,0.8335,0.91734,0.54266,0.84853,0.8225,0.91981,0.87867,1.45424,0.27621,0.25152,0.84697,1.48414,0.00991232,0.00991232,0.00991232
5,101.654,1.03805,0.22901,0.33025,0.88562,1.52878,0.81958,0.86111,0.89656,0.51711,0.83324,0.89227,0.91128,0.86599,1.51806,0.27602,0.24167,0.79474,1.6048,0.00984449,0.00984449,0.00984449
6,120.488,1.02153,0.22151,0.33155,0.86823,1.51266,0.83177,0.85317,0.92111,0.54497,0.86933,0.88095,0.94116,0.89372,1.46506,0.29577,0.2399,0.81522,1.51354,0.00975773,0.00975773,0.00975773
7,139.157,1.0264,0.22277,0.3431,0.89368,1.51257,0.8191,0.89838,0.92259,0.54967,0.82285,0.90321,0.91999,0.87984,1.48588,0.2588,0.20984,0.81046,1.55104,0.00965239,0.00965239,0.00965239
8,159.481,1.01592,0.20812,0.32741,0.84315,1.50403,0.78827,0.88095,0.9078,0.56187,0.83849,0.88095,0.92978,0.88217,1.43745,0.3083,0.21954,0.86627,1.4522,0.00952889,0.00952889,0.00952889
9,178.938,1.00388,0.2082,0.32496,0.84827,1.49551,0.84374,0.84127,0.91963,0.53284,0.86975,0.87444,0.93081,0.88891,1.49898,0.26338,0.21981,0.8051,1.59587,0.00938772,0.00938772,0.00938772
10,198.035,0.99252,0.19848,0.30448,0.84596,1.4919,0.74766,0.87007,0.89989,0.52256,0.78557,0.91589,0.92053,0.88381,1.52268,0.27075,0.1996,0.84716,1.64451,0.00922942,0.00922942,0.00922942
11,216.107,1.00814,0.21063,0.32283,0.84881,1.49475,0.81372,0.89683,0.92025,0.5651,0.82196,0.89767,0.92974,0.88579,1.42038,0.25064,0.21797,0.80785,1.44986,0.00905463,0.00905463,0.00905463
12,234.401,0.97939,0.20071,0.31252,0.81562,1.47791,0.82394,0.8373,0.9253,0.58013,0.81326,0.88136,0.92744,0.89066,1.38135,0.23302,0.23218,0.78955,1.42364,0.00886404,0.00886404,0.00886404
13,252.423,0.96741,0.19709,0.31012,0.80193,1.46559,0.84237,0.88095,0.93702,0.57591,0.84803,0.88572,0.93171,0.89331,1.4201,0.23449,0.26002,0.80467,1.48003,0.00865839,0.00865839,0.00865839
14,271.009,0.9678,0.19689,0.30962,0.80712,1.46644,0.85644,0.81746,0.92238,0.58027,0.8603,0.82937,0.92448,0.88907,1.37151,0.24019,0.23421,0.7554,1.43927,0.00843851,0.00843851,0.00843851
15,290.184,0.93973,0.19373,0.31182,0.78643,1.44213,0.83629,0.87302,0.92955,0.56908,0.87075,0.88226,0.93733,0.89489,1.40651,0.24728,0.20144,0.76069,1.48688,0.00820525,0.00820525,0.00820525
16,310.026,0.9438,0.19702,0.3088,0.77656,1.46112,0.82072,0.81748,0.91346,0.57265,0.84064,0.83732,0.93108,0.88964,1.39629,0.2464,0.20123,0.75998,1.43874,0.00795954,0.00795954,0.00795954
17,329.004,0.93917,0.17929,0.30155,0.79002,1.4431,0.84823,0.89683,0.92998,0.59179,0.8499,0.90079,0.9323,0.90128,1.34191,0.21624,0.21903,0.76863,1.38792,0.00770234,0.00770234,0.00770234
18,348.079,0.94843,0.18132,0.30032,0.76458,1.4386,0.85961,0.87474,0.95288,0.61955,0.86869,0.89258,0.95095,0.91911,1.33971,0.22888,0.19232,0.77623,1.35265,0.00743468,0.00743468,0.00743468
19,366.913,0.94015,0.18826,0.29938,0.77968,1.43651,0.83982,0.90476,0.93663,0.60127,0.8598,0.89683,0.94292,0.90873,1.35319,0.22929,0.19546,0.69384,1.39741,0.00715761,0.00715761,0.00715761
20,385.566,0.91226,0.18086,0.29422,0.75018,1.41986,0.87899,0.87302,0.9365,0.60095,0.88066,0.88095,0.93852,0.90849,1.3409,0.21219,0.19607,0.76895,1.3911,0.00687222,0.00687222,0.00687222
21,404.282,0.9059,0.17291,0.29147,0.76111,1.42501,0.83368,0.88889,0.9402,0.59102,0.84207,0.90476,0.94299,0.91172,1.37655,0.21924,0.18168,0.71323,1.42435,0.00657963,0.00657963,0.00657963
22,422.772,0.90478,0.16784,0.28454,0.74469,1.4111,0.91016,0.88448,0.94837,0.59901,0.90545,0.87409,0.94859,0.91825,1.36672,0.22616,0.18302,0.7406,1.43108,0.00628101,0.00628101,0.00628101
23,441.182,0.91019,0.16486,0.28244,0.74328,1.40778,0.8713,0.87698,0.94288,0.62113,0.8757,0.89286,0.95145,0.92071,1.30107,0.21177,0.20523,0.67394,1.33073,0.00597754,0.00597754,0.00597754
24,459.616,0.89757,0.171,0.27355,0.73268,1.4011,0.85916,0.92063,0.9514,0.61068,0.88107,0.90476,0.95158,0.9244,1.32855,0.20143,0.15991,0.69544,1.37155,0.0056704,0.0056704,0.0056704
25,478.183,0.88303,0.16728,0.27883,0.73394,1.40175,0.85739,0.82937,0.9401,0.62402,0.88368,0.84524,0.94739,0.92209,1.2837,0.2068,0.19661,0.69508,1.32114,0.00536081,0.00536081,0.00536081
26,496.758,0.8899,0.1709,0.27558,0.72438,1.39291,0.82015,0.90478,0.93573,0.62358,0.86981,0.90144,0.95302,0.92364,1.26991,0.19654,0.20317,0.70376,1.31137,0.00505,0.00505,0.00505
27,515.436,0.86991,0.1578,0.27337,0.72035,1.39809,0.89515,0.9147,0.96435,0.62308,0.90668,0.9246,0.96662,0.93976,1.31047,0.19155,0.17206,0.64929,1.37524,0.00473919,0.00473919,0.00473919
28,534.206,0.86855,0.1611,0.26914,0.70249,1.37305,0.83438,0.91959,0.95273,0.61704,0.88008,0.90476,0.96345,0.9332,1.34175,0.20575,0.18642,0.67744,1.39663,0.0044296,0.0044296,0.0044296
29,552.949,0.86901,0.16115,0.27738,0.71273,1.37745,0.8593,0.86905,0.94438,0.62676,0.85841,0.87302,0.94436,0.92008,1.29546,0.1866,0.17903,0.6587,1.33224,0.00412246,0.00412246,0.00412246
30,571.402,0.86609,0.14948,0.2771,0.70149,1.38224,0.82238,0.90028,0.94351,0.62569,0.86309,0.90079,0.94717,0.92085,1.28803,0.19102,0.19536,0.67946,1.31938,0.00381899,0.00381899,0.00381899
31,590.525,0.84984,0.15327,0.2637,0.68993,1.36118,0.9285,0.87606,0.95984,0.64003,0.93262,0.87886,0.96224,0.93764,1.30111,0.18262,0.16366,0.6428,1.32088,0.00352037,0.00352037,0.00352037
32,609.054,0.83735,0.14107,0.25271,0.67006,1.35473,0.8978,0.90639,0.95915,0.63073,0.89469,0.9127,0.95822,0.93507,1.29581,0.17953,0.16493,0.63297,1.34821,0.00322778,0.00322778,0.00322778
33,627.321,0.84386,0.14851,0.26115,0.6939,1.35522,0.82494,0.90079,0.94283,0.63526,0.82225,0.93651,0.94616,0.9222,1.27853,0.18207,0.17701,0.65869,1.30657,0.00294239,0.00294239,0.00294239
34,645.324,0.8341,0.14727,0.2671,0.67321,1.35365,0.90937,0.91582,0.96472,0.65323,0.90498,0.90706,0.96106,0.94133,1.2485,0.17086,0.16207,0.63345,1.25954,0.00266532,0.00266532,0.00266532
35,663.622,0.84473,0.14082,0.25309,0.6748,1.34892,0.81725,0.9127,0.94982,0.62709,0.84564,0.90079,0.94996,0.92729,1.28819,0.17238,0.17463,0.65106,1.34111,0.00239766,0.00239766,0.00239766
36,681.849,0.8345,0.13453,0.25332,0.65877,1.35631,0.82989,0.89056,0.95485,0.64529,0.84119,0.90382,0.95618,0.93394,1.26657,0.175,0.17305,0.64169,1.30105,0.00214046,0.00214046,0.00214046
37,700.891,0.82563,0.13298,0.25237,0.66416,1.33679,0.86618,0.92063,0.96377,0.64963,0.84943,0.94444,0.96226,0.93914,1.25029,0.16946,0.16097,0.60745,1.28226,0.00189475,0.00189475,0.00189475
38,719.457,0.83023,0.13717,0.24869,0.66406,1.3322,0.91564,0.87698,0.96231,0.65532,0.89596,0.88492,0.96084,0.93783,1.23234,0.17226,0.17431,0.61301,1.24175,0.00166149,0.00166149,0.00166149
39,737.914,0.81615,0.13408,0.24803,0.65747,1.33436,0.87068,0.88095,0.95588,0.63733,0.87118,0.89286,0.95556,0.93648,1.2534,0.17568,0.17019,0.64318,1.28255,0.00144161,0.00144161,0.00144161
40,756.605,0.80487,0.13503,0.23966,0.64053,1.31527,0.91197,0.89286,0.96713,0.64836,0.8953,0.88492,0.96433,0.94282,1.24677,0.17506,0.15884,0.59858,1.28891,0.00123596,0.00123596,0.00123596
41,797.526,1.05827,0.18591,0.18679,0.57175,1.18861,0.90609,0.91891,0.96734,0.66153,0.8991,0.91937,0.96408,0.94287,1.20912,0.17073,0.13471,0.59464,1.25025,0.00104537,0.00104537,0.00104537
42,815.96,1.05313,0.17482,0.18417,0.54753,1.18189,0.896,0.93651,0.96832,0.6648,0.89749,0.93807,0.96815,0.94801,1.21719,0.17207,0.14222,0.58461,1.25783,0.000870577,0.000870577,0.000870577
43,834.511,1.06302,0.17076,0.18708,0.54976,1.18596,0.9043,0.9127,0.96851,0.66284,0.884,0.90719,0.96554,0.94467,1.21476,0.17331,0.13932,0.57986,1.25261,0.000712282,0.000712282,0.000712282
44,853.106,1.03984,0.17036,0.17136,0.52879,1.17073,0.90999,0.92268,0.97269,0.67793,0.9028,0.9246,0.96793,0.94582,1.19329,0.17078,0.13371,0.57141,1.23171,0.000571106,0.000571106,0.000571106
45,871.398,1.05058,0.17841,0.18352,0.54445,1.17045,0.91006,0.92355,0.97384,0.672,0.90124,0.94149,0.97337,0.95225,1.20139,0.1694,0.13335,0.56691,1.24712,0.000447606,0.000447606,0.000447606
46,889.442,1.0299,0.16697,0.16343,0.52318,1.17103,0.90782,0.93789,0.97358,0.67968,0.90419,0.93625,0.97215,0.95309,1.18744,0.16568,0.12902,0.5708,1.22177,0.00034227,0.00034227,0.00034227
47,908.128,1.0322,0.16555,0.16275,0.53227,1.16349,0.89878,0.93651,0.97379,0.67975,0.89748,0.93795,0.97256,0.95179,1.19097,0.16688,0.1277,0.56527,1.22761,0.000255513,0.000255513,0.000255513
48,926.564,1.03241,0.1636,0.17542,0.528,1.16546,0.90168,0.94444,0.9737,0.6838,0.89517,0.94841,0.97217,0.95246,1.18037,0.16334,0.13045,0.56455,1.21018,0.000187678,0.000187678,0.000187678
49,944.335,1.01707,0.16451,0.17018,0.52362,1.14963,0.91927,0.94896,0.97575,0.68448,0.89923,0.9561,0.97081,0.95117,1.185,0.16321,0.12876,0.55861,1.22079,0.000139032,0.000139032,0.000139032
50,962.954,1.02779,0.1607,0.17067,0.52264,1.15124,0.90449,0.93946,0.97394,0.68452,0.89473,0.94437,0.9685,0.95082,1.17641,0.16267,0.12837,0.56055,1.21129,0.000109768,0.000109768,0.000109768
