epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,625.278,0.61483,0.09773,0.20758,0.49788,1.1244,0.99212,0.99936,0.99488,0.91009,0.98818,0.99549,0.99395,0.98306,0.45102,0.08302,0.10579,0.25264,0.90495,0.00699547,0.00699547,0.00699547
28,647.961,0.59763,0.09319,0.20621,0.48138,1.10832,0.99598,0.98377,0.99441,0.91861,0.98795,0.97594,0.99176,0.9769,0.41973,0.09295,0.09996,0.25822,0.88659,0.00678931,0.00678931,0.00678931
29,670.462,0.61322,0.09471,0.21327,0.49417,1.11857,0.98819,0.99596,0.99472,0.922,0.98031,0.98803,0.99347,0.98186,0.42065,0.08263,0.10465,0.25075,0.89164,0.00657963,0.00657963,0.00657963
30,692.886,0.59788,0.08936,0.20133,0.4775,1.11304,0.99601,0.99121,0.99488,0.92222,0.99203,0.98724,0.99396,0.9856,0.41616,0.07393,0.07484,0.24698,0.88678,0.00636688,0.00636688,0.00636688
31,715.401,0.59273,0.08885,0.19548,0.46994,1.105,0.99376,0.99206,0.99488,0.91581,0.98978,0.9881,0.99411,0.98392,0.4294,0.07372,0.09413,0.24705,0.88915,0.00615148,0.00615148,0.00615148
32,737.879,0.5875,0.08521,0.1847,0.46028,1.10435,0.99601,0.99038,0.99496,0.92919,0.99202,0.98641,0.9932,0.98681,0.41709,0.06843,0.1077,0.23323,0.87912,0.00593386,0.00593386,0.00593386
33,760.448,0.59698,0.08433,0.18499,0.46896,1.11044,0.98735,0.99206,0.99488,0.92386,0.9834,0.9881,0.9928,0.98758,0.42104,0.06946,0.10277,0.24531,0.8919,0.00571445,0.00571445,0.00571445
34,783.744,0.57837,0.08718,0.18817,0.46024,1.1009,0.9843,0.99522,0.99472,0.92573,0.98038,0.99129,0.99321,0.98866,0.40303,0.0663,0.10442,0.23957,0.86707,0.00549371,0.00549371,0.00549371
35,807.082,0.5742,0.08127,0.17893,0.46007,1.09268,0.99506,0.99206,0.99496,0.93361,0.98295,0.98016,0.98963,0.98619,0.40777,0.05875,0.08852,0.23457,0.87427,0.00527208,0.00527208,0.00527208
36,830.696,0.574,0.07498,0.18059,0.45368,1.09887,0.97961,1,0.99468,0.92953,0.97573,0.99603,0.99348,0.98949,0.40453,0.06313,0.09798,0.22886,0.86398,0.00505,0.00505,0.00505
37,853.686,0.56797,0.07789,0.1837,0.45385,1.09267,0.98094,0.98413,0.99444,0.93757,0.969,0.99224,0.99328,0.99037,0.39842,0.06042,0.07498,0.23244,0.87034,0.00482792,0.00482792,0.00482792
38,876.496,0.56809,0.07918,0.17917,0.44866,1.09116,0.99194,0.97715,0.99464,0.93378,0.99196,0.97918,0.99363,0.99283,0.38566,0.06187,0.09197,0.22787,0.85706,0.00460629,0.00460629,0.00460629
39,899.192,0.56015,0.07376,0.1705,0.44381,1.08625,0.99522,0.99206,0.99496,0.93499,0.98724,0.98413,0.99218,0.98671,0.38715,0.06481,0.07511,0.22446,0.86199,0.00438555,0.00438555,0.00438555
40,922.1,0.54322,0.07304,0.16362,0.42832,1.07778,0.99738,0.99206,0.995,0.93275,0.98929,0.98413,0.99312,0.99119,0.37481,0.05652,0.06735,0.21102,0.85023,0.00416614,0.00416614,0.00416614
41,944.991,0.54623,0.06824,0.17204,0.42312,1.07739,0.99147,1,0.99496,0.93751,0.98754,0.99603,0.99311,0.98856,0.37445,0.05625,0.07969,0.21514,0.84324,0.00394852,0.00394852,0.00394852
42,967.876,0.542,0.06902,0.16904,0.41751,1.0801,1,0.99519,0.995,0.93269,0.99601,0.99122,0.99468,0.99196,0.39649,0.05533,0.05882,0.21247,0.86011,0.00373312,0.00373312,0.00373312
43,991.02,0.55277,0.07205,0.16532,0.42148,1.0807,0.99178,1,0.99496,0.9395,0.98784,0.99603,0.99383,0.9904,0.36866,0.0546,0.07678,0.20097,0.83987,0.00352037,0.00352037,0.00352037
44,1013.67,0.54995,0.06456,0.15701,0.42327,1.08338,0.99212,0.99951,0.99492,0.94646,0.98818,0.99554,0.99263,0.99137,0.36243,0.05114,0.07411,0.20257,0.83767,0.00331069,0.00331069,0.00331069
45,1036.03,0.52708,0.07261,0.16589,0.40226,1.06742,0.99603,0.99591,0.99496,0.94467,0.99206,0.99197,0.9936,0.98966,0.35484,0.05507,0.0599,0.19827,0.83142,0.00310453,0.00310453,0.00310453
46,1057.99,0.52558,0.06622,0.15954,0.40646,1.07175,0.99603,0.99498,0.99496,0.94133,0.99206,0.99101,0.99444,0.99248,0.3619,0.0516,0.06963,0.19596,0.83615,0.00290228,0.00290228,0.00290228
47,1079.96,0.51466,0.06411,0.15171,0.40012,1.06595,0.99518,1,0.995,0.94985,0.99123,0.99603,0.99417,0.99157,0.35083,0.05053,0.06414,0.19912,0.82447,0.00270435,0.00270435,0.00270435
48,1101.94,0.52215,0.06518,0.1614,0.41544,1.07157,1,0.99461,0.995,0.95021,0.99601,0.99064,0.99396,0.99046,0.34954,0.05143,0.05981,0.19276,0.82519,0.00251115,0.00251115,0.00251115
49,1123.69,0.51693,0.06405,0.15101,0.40224,1.06088,0.99604,0.99896,0.995,0.94713,0.99209,0.99499,0.99313,0.99081,0.35239,0.04836,0.06064,0.19215,0.82369,0.00232306,0.00232306,0.00232306
50,1145.73,0.51589,0.0603,0.15142,0.40378,1.05941,0.99487,1,0.99496,0.95454,0.99092,0.99603,0.9942,0.99221,0.34956,0.04641,0.05402,0.19147,0.822,0.00214046,0.00214046,0.00214046
51,1169.11,0.5019,0.06369,0.14641,0.39809,1.05537,0.99563,1,0.995,0.94987,0.98773,0.99206,0.99334,0.99192,0.35018,0.04537,0.05907,0.18954,0.81969,0.00196373,0.00196373,0.00196373
52,1191.48,0.50457,0.05905,0.13984,0.38705,1.05981,0.99296,0.99603,0.99496,0.94987,0.989,0.99206,0.99343,0.99154,0.3456,0.04827,0.05617,0.19273,0.81922,0.0017932,0.0017932,0.0017932
53,1213.73,0.50614,0.0566,0.13337,0.38909,1.05005,0.99525,1,0.995,0.95204,0.9913,0.99603,0.9938,0.99134,0.34416,0.05037,0.04663,0.19163,0.82144,0.00162924,0.00162924,0.00162924
54,1236.44,0.49987,0.05982,0.1418,0.38563,1.05301,0.99575,1,0.995,0.94652,0.9918,0.99603,0.9932,0.99061,0.34978,0.04856,0.05578,0.19335,0.82225,0.00147217,0.00147217,0.00147217
55,1261.62,0.49926,0.06048,0.13446,0.39068,1.05115,0.99604,0.99886,0.995,0.95554,0.99209,0.99489,0.994,0.99081,0.33375,0.04532,0.0493,0.18674,0.81145,0.0013223,0.0013223,0.0013223
56,1289.27,0.49073,0.05734,0.14171,0.37589,1.05357,0.99164,1,0.995,0.95801,0.98771,0.99603,0.99316,0.99143,0.33617,0.04401,0.04764,0.18407,0.81647,0.00117993,0.00117993,0.00117993
57,1312.75,0.49993,0.05603,0.13671,0.38262,1.05343,0.99605,0.99999,0.995,0.95562,0.98814,0.99205,0.99298,0.99029,0.33146,0.04366,0.04772,0.18051,0.81278,0.00104537,0.00104537,0.00104537
58,1350.44,0.49369,0.05937,0.13964,0.37145,1.05291,0.9957,1,0.995,0.95479,0.99175,0.99603,0.993,0.99119,0.33047,0.0433,0.04718,0.17878,0.81001,0.000918862,0.000918862,0.000918862
59,1378.68,0.49296,0.05461,0.12921,0.37575,1.05267,0.99608,1,0.995,0.95823,0.99208,0.99603,0.99274,0.99172,0.32553,0.04081,0.04694,0.1764,0.80816,0.000800678,0.000800678,0.000800678
60,1406.27,0.48765,0.05604,0.13726,0.37139,1.03627,0.99658,1,0.995,0.95976,0.98852,0.99206,0.99294,0.99095,0.32397,0.04056,0.04857,0.17469,0.80734,0.000691052,0.000691052,0.000691052
61,1465,0.32115,0.05714,0.06877,0.21273,0.92431,0.99553,1,0.995,0.95402,0.98762,0.99206,0.99344,0.99237,0.3218,0.04179,0.04818,0.17663,0.80609,0.000590204,0.000590204,0.000590204
62,1502.78,0.31929,0.06064,0.07001,0.2041,0.91748,0.99559,1,0.995,0.95743,0.98769,0.99206,0.99403,0.99272,0.32275,0.03925,0.0465,0.17622,0.80408,0.000498338,0.000498338,0.000498338
63,1536.68,0.30847,0.05584,0.05704,0.19574,0.91134,0.99566,1,0.995,0.9586,0.98774,0.99206,0.99398,0.99264,0.3203,0.03923,0.0468,0.17595,0.80191,0.000415637,0.000415637,0.000415637
64,1574.76,0.31415,0.05357,0.06017,0.19484,0.92285,0.99543,1,0.995,0.95661,0.99148,0.99603,0.99404,0.99365,0.31943,0.03773,0.04154,0.17448,0.80344,0.00034227,0.00034227,0.00034227
65,1611.43,0.31216,0.05382,0.05798,0.19554,0.9115,0.99568,1,0.995,0.95844,0.99173,0.99603,0.99404,0.99366,0.31634,0.03693,0.03952,0.17599,0.80009,0.000278384,0.000278384,0.000278384
66,1649.16,0.3139,0.05663,0.06405,0.19617,0.9153,0.99547,1,0.995,0.95633,0.99152,0.99603,0.994,0.99362,0.31504,0.03752,0.04065,0.17141,0.79826,0.000224107,0.000224107,0.000224107
67,1685.98,0.30271,0.05452,0.05772,0.19092,0.91419,0.99553,1,0.995,0.95785,0.99158,0.99603,0.994,0.99363,0.31325,0.03766,0.0402,0.17377,0.7961,0.000179549,0.000179549,0.000179549
68,1722.67,0.30954,0.05253,0.05996,0.19631,0.91948,0.99558,1,0.995,0.95803,0.99163,0.99603,0.99388,0.9935,0.31242,0.03663,0.04028,0.17176,0.79641,0.000144799,0.000144799,0.000144799
69,1760.08,0.30409,0.05299,0.05648,0.19213,0.91756,0.99553,1,0.995,0.96061,0.99158,0.99603,0.99396,0.99359,0.31306,0.0366,0.03742,0.1722,0.79674,0.000119927,0.000119927,0.000119927
70,1790.83,0.30037,0.05244,0.05914,0.18826,0.91244,0.99556,1,0.995,0.95882,0.99161,0.99603,0.99396,0.99359,0.3112,0.03671,0.03741,0.17193,0.79646,0.000104984,0.000104984,0.000104984
