epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6183,0.85843,0.28931,0.44098,0.65187,1.36673,0.96834,0.97222,0.98961,0.72203,0.96058,0.96696,0.9825,0.94063,1.08862,0.20375,0.22208,0.43527,1.03528,0.0702439,0.00330623,0.00330623
2,49.4703,0.82826,0.17155,0.33356,0.61282,1.33549,0.95005,0.98413,0.99037,0.71753,0.948,0.96825,0.97949,0.94436,1.09978,0.19528,0.17094,0.45247,1.04736,0.0402374,0.00663308,0.00663308
3,71.9872,0.81922,0.16948,0.29774,0.62528,1.31449,0.96915,0.95238,0.98572,0.68325,0.97041,0.95238,0.98231,0.947,1.16476,0.20137,0.22425,0.50056,1.13291,0.010205,0.00993397,0.00993397
4,94.2658,0.85522,0.18091,0.30551,0.65988,1.35792,0.93525,0.94841,0.98163,0.67591,0.9403,0.95238,0.97765,0.94438,1.17987,0.194,0.17673,0.54607,1.15445,0.00991232,0.00991232,0.00991232
5,115.765,0.86735,0.17162,0.28733,0.67172,1.35894,0.95684,0.96763,0.98779,0.68507,0.94553,0.96438,0.97767,0.94225,1.14616,0.19442,0.16478,0.54097,1.11209,0.00984449,0.00984449,0.00984449
6,137.062,0.84573,0.17999,0.29304,0.65704,1.34063,0.98317,0.9271,0.98814,0.6867,0.94861,0.9523,0.98088,0.94423,1.13198,0.19408,0.13977,0.48443,1.08496,0.00975773,0.00975773,0.00975773
7,158.553,0.86109,0.16761,0.29252,0.67676,1.34679,0.94841,0.96825,0.97918,0.69029,0.9423,0.97217,0.98268,0.9509,1.11476,0.17504,0.14921,0.50093,1.03452,0.00965239,0.00965239,0.00965239
8,179.954,0.84603,0.16364,0.28139,0.65129,1.34245,0.94287,0.98236,0.98531,0.70413,0.95098,0.94444,0.9747,0.942,1.08318,0.18118,0.1386,0.48665,1.03109,0.00952889,0.00952889,0.00952889
9,201.331,0.83335,0.15684,0.2747,0.65167,1.3346,0.9588,0.96825,0.98437,0.69382,0.9562,0.95303,0.97701,0.95282,1.12063,0.16061,0.16272,0.50699,1.07414,0.00938772,0.00938772,0.00938772
10,222.127,0.83021,0.14927,0.26548,0.63434,1.33226,0.95107,0.97619,0.98758,0.70991,0.94143,0.95635,0.9781,0.95579,1.06767,0.15515,0.15459,0.49564,1.01617,0.00922942,0.00922942,0.00922942
11,243.177,0.82732,0.16336,0.27901,0.63523,1.31028,0.96466,0.98016,0.989,0.71488,0.95692,0.96966,0.97939,0.95638,1.058,0.14916,0.15444,0.47192,1.00414,0.00905463,0.00905463,0.00905463
12,264.283,0.81461,0.14985,0.27269,0.60948,1.31549,0.9546,0.96825,0.98772,0.69778,0.93913,0.97955,0.98293,0.96334,1.11605,0.14092,0.16211,0.50429,1.03368,0.00886404,0.00886404,0.00886404
