epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8844,0.86091,0.29178,0.43763,0.66842,1.36228,0.97231,0.97551,0.99172,0.72021,0.96797,0.95934,0.98135,0.94226,1.08017,0.20326,0.22775,0.41782,1.03572,0.0702439,0.00330623,0.00330623
2,44.43,0.83174,0.17863,0.33503,0.62972,1.33753,0.97124,0.97222,0.99174,0.7028,0.96291,0.96429,0.98242,0.94491,1.08946,0.2018,0.17924,0.44458,1.04024,0.0402374,0.00663308,0.00663308
3,64.5703,0.82758,0.17292,0.30244,0.64086,1.31908,0.95106,0.97222,0.98794,0.69066,0.95024,0.96032,0.98321,0.95032,1.13561,0.20068,0.17876,0.47132,1.06132,0.010205,0.00993397,0.00993397
4,84.5207,0.85648,0.18574,0.30298,0.66628,1.35095,0.96415,0.96055,0.98894,0.69598,0.96837,0.93651,0.9802,0.94071,1.1314,0.20067,0.16755,0.4958,1.06964,0.00991232,0.00991232,0.00991232
5,104.46,0.87241,0.18116,0.29017,0.69934,1.35323,0.93915,0.95635,0.97921,0.66934,0.94155,0.95879,0.97483,0.93233,1.18182,0.21406,0.15187,0.54526,1.14106,0.00984449,0.00984449,0.00984449
6,124.783,0.85259,0.17942,0.29826,0.65602,1.3461,0.97177,0.95604,0.9863,0.69947,0.9516,0.93631,0.97131,0.93715,1.14051,0.20398,0.14915,0.47742,1.08453,0.00975773,0.00975773,0.00975773
7,144.94,0.84288,0.16792,0.29191,0.6699,1.33443,0.94627,0.97849,0.99027,0.70561,0.95848,0.96825,0.98367,0.94651,1.13756,0.20692,0.16083,0.47414,1.07882,0.00965239,0.00965239,0.00965239
8,165.159,0.84276,0.16524,0.28363,0.6552,1.33291,0.96834,0.97095,0.9887,0.71414,0.9569,0.96825,0.98349,0.95406,1.1173,0.17191,0.13266,0.47682,1.0421,0.00952889,0.00952889,0.00952889
9,185.725,0.84765,0.16357,0.27985,0.65983,1.33403,0.94592,0.97222,0.98576,0.68857,0.93819,0.96429,0.98023,0.9438,1.1348,0.19463,0.15738,0.48312,1.06785,0.00938772,0.00938772,0.00938772
10,205.884,0.83019,0.15434,0.26417,0.65075,1.32372,0.95692,0.9695,0.98962,0.7081,0.94772,0.96825,0.98583,0.953,1.10576,0.18925,0.1464,0.47579,1.03363,0.00922942,0.00922942,0.00922942
11,225.847,0.83603,0.16184,0.27915,0.64696,1.32123,0.95558,0.939,0.98339,0.69924,0.94901,0.93254,0.97792,0.94357,1.1105,0.19672,0.16648,0.5107,1.05911,0.00905463,0.00905463,0.00905463
12,246.225,0.82379,0.14922,0.26908,0.6228,1.31277,0.97062,0.96825,0.98881,0.71236,0.96665,0.96429,0.98753,0.95931,1.11407,0.15825,0.16282,0.48975,1.01678,0.00886404,0.00886404,0.00886404
13,266.178,0.8074,0.14414,0.26281,0.61687,1.3099,0.97593,0.96547,0.9917,0.71662,0.96792,0.95785,0.98784,0.96177,1.06501,0.16054,0.16681,0.4532,1.0011,0.00865839,0.00865839,0.00865839
14,286.357,0.81324,0.15464,0.27081,0.605,1.30213,0.97966,0.96825,0.991,0.7303,0.96602,0.95635,0.98629,0.95959,1.06949,0.15877,0.14895,0.4648,1.02437,0.00843851,0.00843851,0.00843851
15,306.403,0.78104,0.14453,0.26169,0.58634,1.28514,0.96854,0.99603,0.99007,0.72565,0.95682,0.98413,0.98157,0.95356,1.06635,0.16396,0.14089,0.44835,0.98071,0.00820525,0.00820525,0.00820525
16,326.83,0.78767,0.1449,0.26507,0.59035,1.29963,0.96988,0.96429,0.98618,0.72616,0.96071,0.95635,0.97447,0.93886,1.02986,0.17575,0.14017,0.45315,1.00206,0.00795954,0.00795954,0.00795954
17,347.149,0.79268,0.13802,0.25659,0.59292,1.2931,0.99196,0.98413,0.99269,0.73334,0.98381,0.97619,0.98842,0.96647,1.05723,0.14085,0.12829,0.44067,0.98542,0.00770234,0.00770234,0.00770234
18,367.495,0.78573,0.13581,0.25532,0.57825,1.27639,0.95783,0.99145,0.98904,0.7251,0.954,0.98749,0.98894,0.96534,1.05156,0.14437,0.19517,0.44489,0.98642,0.00743468,0.00743468,0.00743468
19,387.379,0.78253,0.13753,0.25735,0.58227,1.28521,0.96495,0.9832,0.98891,0.74349,0.95326,0.97129,0.97835,0.96164,1.00739,0.13276,0.12701,0.4411,0.94074,0.00715761,0.00715761,0.00715761
20,407.63,0.75385,0.13445,0.24551,0.56266,1.26249,0.96729,0.98413,0.98734,0.73128,0.96339,0.98016,0.98182,0.95559,1.05161,0.13648,0.13619,0.43959,0.96909,0.00687222,0.00687222,0.00687222
21,427.668,0.7559,0.12398,0.2483,0.56879,1.27019,0.97645,0.9874,0.98897,0.75064,0.96077,0.97189,0.97852,0.95832,1.01633,0.13285,0.12104,0.41477,0.9387,0.00657963,0.00657963,0.00657963
22,448.234,0.74257,0.11961,0.23205,0.54764,1.24796,0.98076,0.98413,0.99247,0.74558,0.97285,0.97619,0.98818,0.96884,1.01063,0.12885,0.12006,0.40268,0.93071,0.00628101,0.00628101,0.00628101
23,468.367,0.75269,0.11514,0.23355,0.54897,1.24989,0.97715,0.98413,0.99107,0.74834,0.96079,0.97248,0.97918,0.95655,1.03042,0.14373,0.11727,0.40401,0.95209,0.00597754,0.00597754,0.00597754
24,489.078,0.73602,0.12401,0.22304,0.54609,1.2382,0.98037,0.99091,0.99306,0.76027,0.97644,0.98695,0.9913,0.96729,0.9944,0.14626,0.1239,0.38862,0.92314,0.0056704,0.0056704,0.0056704
25,509.305,0.72212,0.11619,0.22225,0.53792,1.23887,0.98318,0.9881,0.99222,0.75329,0.97918,0.98016,0.98649,0.97058,1.01074,0.11462,0.14121,0.40663,0.93251,0.00536081,0.00536081,0.00536081
26,530.627,0.74585,0.12124,0.22499,0.54278,1.23981,0.96923,0.99206,0.99101,0.75774,0.96535,0.9881,0.98902,0.96864,0.98811,0.12893,0.13783,0.39376,0.89289,0.00505,0.00505,0.00505
